gene,gene_symbol,gene_biotype,gene_description,log2FoldChange,pvalue,padj
ENSG00000283136.1,U6,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],0.1982225926617049,0.947350987787704,
ENSG00000283138.1,ENSG00000283138,lncRNA,"novel transcript, antisense to EFCAB4B",2.652570551628922,6.1083747116781224e-21,3.9036230281247174e-20
ENSG00000283141.1,LINC02666,lncRNA,long intergenic non-protein coding RNA 2666 [Source:HGNC Symbol;Acc:HGNC:54152],0.1160826530651403,0.4712507513448238,0.5263662561187847
ENSG00000283142.1,ENSG00000283142,transcribed_unprocessed_pseudogene,WAP four-disulfide core domain 15 family pseudogene,-0.3728778645279523,0.3800629528096833,0.4379834898937926
ENSG00000283145.1,ENSG00000283145,transcribed_unprocessed_pseudogene,immunoglobulin superfamily member 3 (IGSF3) pseudogene,0.2053596122980376,0.787159036555909,
ENSG00000283146.1,MIR548AU,miRNA,microRNA 548au [Source:HGNC Symbol;Acc:HGNC:43483],0.4217737550519637,0.7295904616404995,0.7608974261299388
ENSG00000283148.1,ENSG00000283148,lncRNA,novel transcript,-1.1229265542798872,3.0594357499154107e-09,9.078808781759761e-09
ENSG00000283149.1,ENSG00000283149,protein_coding,novel protein,,,
ENSG00000283152.1,MIR3120,miRNA,microRNA 3120 [Source:HGNC Symbol;Acc:HGNC:38295],,,
ENSG00000283154.2,IQCJ-SCHIP1,protein_coding,IQCJ-SCHIP1 readthrough [Source:HGNC Symbol;Acc:HGNC:38842],-0.0105440559918925,0.9210912737031236,0.9312780999466956
ENSG00000283155.1,ENSG00000283155,lncRNA,novel transcript,0.4165737084231696,0.627210603381525,
ENSG00000283156.1,ENSG00000283156,transcribed_unprocessed_pseudogene,novel Myb/SANT-like DNA-binding domain containing pseudogene,-0.9706924651539444,3.776803021450759e-15,1.6992953126662644e-14
ENSG00000283157.1,ENSG00000283157,lncRNA,"novel transcript, antisense to ZFPM2",0.2834222719640144,0.8776688501780249,
ENSG00000283159.1,MIR665,miRNA,microRNA 665 [Source:HGNC Symbol;Acc:HGNC:33662],0.1928988306061621,0.9492056852623952,
ENSG00000283160.1,MIR4521,miRNA,microRNA 4521 [Source:HGNC Symbol;Acc:HGNC:41813],0.3452517925740246,0.3324689977601617,0.3898417503476474
ENSG00000283162.1,ENSG00000283162,transcribed_unprocessed_pseudogene,STRA6-like (Stra6l) pseudogene,-1.9631910213472108,6.548408530198463e-08,1.747312216513269e-07
ENSG00000283164.1,ENSG00000283164,,,0.8050475352619925,0.1839161475706424,0.2304978450991302
ENSG00000283165.1,MIR203B,miRNA,microRNA 203b [Source:HGNC Symbol;Acc:HGNC:41811],,,
ENSG00000283166.1,ENSG00000283166,processed_pseudogene,mitochondrially encoded NADH dehydrogenase 2 (MT-ND2) pseudogene,0.0135233264877069,0.9731342149515856,0.9768864508181216
ENSG00000283167.2,ENSG00000283167,transcribed_unprocessed_pseudogene,"novel pseudogene, similar to zonadhesin (Zan)",0.4036872438143763,0.126956196769704,0.1650037888668918
ENSG00000283170.1,MIR382,miRNA,microRNA 382 [Source:HGNC Symbol;Acc:HGNC:31875],0.1822419931420794,0.9651417331747442,
